Cow#,Short Name,Calved,Lact#,Age (mths),Milk PI,Protein PI,Fat PI,Milk,Fat Kg,Fat %,Protein Kg,Protein %,SCC,Cow#_1,DIM,LTD Milk,LTD Protein Kg,LTD Protein %,LTD Fat Kg,LTD Fat %,Tests,Peak SCC,Peak SCC Date,Influence
4770,4770,12/08/2017,2,54,98,98,85,30,1.18,3.93,0.98,3.28,5,4770,61,1626,58,3.57,55,3.38,3,269,15/08/2017,
4771,4771,07/08/2017,2,54,95,96,99,29,1.37,4.73,0.91,3.15,20,4771,66,1876,66,3.52,81,4.32,3,81,15/08/2017,
4772,4772,21/07/2017,2,53,108,99,92,34,1.3,3.83,1.04,3.07,27,4772,83,2598,79,3.04,94,3.62,3,68,15/08/2017,
4775,4775,15/08/2016,1,42,87,88,97,13,0.85,6.52,0.64,4.89,62,4775,423,7716,291,3.77,391,5.07,15,62,12/10/2017,
4776,4776,24/06/2017,2,52,70,73,86,20,1.14,5.69,0.69,3.44,40,4776,110,2136,74,3.46,114,5.34,4,50,18/07/2017,
4777,4777,12/07/2017,2,53,80,84,66,20,0.92,4.62,0.73,3.67,38,4777,92,2234,78,3.49,69,3.09,4,38,12/10/2017,
4779,4779,03/08/2017,2,53,100,98,96,29,1.03,3.54,0.88,3.03,300,4779,70,2172,73,3.36,89,4.1,3,980,15/08/2017,
4780,4780,10/08/2017,2,54,99,101,91,28,0.9,3.21,0.93,3.31,13,4780,63,1910,69,3.61,68,3.56,3,98,15/08/2017,
4782,4782,04/09/2017,2,54,122,111,104,40,1.4,3.51,1.22,3.06,228,4782,38,1428,47,3.29,50,3.5,2,383,12/09/2017,
4784,4784,29/07/2016,1,41,107,103,107,18,1.1,6.09,0.75,4.16,540,4784,440,10234,359,3.51,466,4.55,15,623,16/06/2017,
4785,4785,07/08/2016,1,41,93,91,90,16,0.86,5.37,0.68,4.23,28,4785,431,9140,322,3.52,397,4.34,15,86,09/11/2016,
4788,4788,04/08/2016,1,41,86,80,76,18,0.89,4.95,0.69,3.83,36,4788,434,8742,293,3.35,355,4.06,15,54,16/08/2016,
4789,4789,30/07/2016,1,41,78,83,84,13,0.81,6.25,0.6,4.64,28,4789,439,7760,300,3.87,390,5.03,15,79,16/08/2016,
4791,4791,05/09/2017,2,54,94,100,102,28,1.43,5.11,0.97,3.47,14,4791,37,1036,41,3.96,47,4.54,2,48,12/09/2017,
4793,4793,19/08/2016,1,42,97,83,79,20,0.86,4.28,0.66,3.29,46,4793,419,9711,293,3.02,353,3.64,14,101,08/09/2016,
4794,4794,14/07/2017,2,53,95,93,96,25,1.17,4.68,0.8,3.21,65,4794,90,2547,86,3.38,110,4.32,4,108,18/07/2017,
4797,4797,03/08/2016,1,41,85,88,95,16,0.98,6.11,0.66,4.14,167,4797,435,8299,308,3.71,418,5.04,15,491,16/08/2016,
4798,4798,03/09/2017,3,54,95,93,90,29,1.05,3.62,0.85,2.93,32,4798,39,1107,37,3.34,41,3.7,2,74,12/09/2017,
4799,4799,19/07/2017,2,52,103,98,94,30,1.25,4.15,0.94,3.12,11,4799,85,2584,83,3.21,94,3.64,3,18,15/08/2017,
4801,4801,06/08/2017,2,53,86,89,97,25,1.22,4.88,0.81,3.24,14,4801,67,1728,61,3.53,81,4.69,3,49,15/08/2017,
4802,4802,26/09/2016,1,43,88,96,99,16,0.91,5.67,0.68,4.22,160,4802,381,7398,279,3.77,370,5,13,382,11/10/2016,
4803,4803,17/07/2017,2,52,96,92,97,27,1.18,4.38,0.83,3.09,17,4803,87,2347,84,3.58,109,4.64,4,28,15/08/2017,
4804,4804,26/08/2016,1,42,80,84,92,13,0.86,6.6,0.61,4.7,58,4804,412,7186,274,3.81,386,5.37,14,833,08/09/2016,
4808,4808,08/08/2017,2,53,103,99,95,30,1.14,3.8,0.91,3.03,14,4808,65,2077,69,3.32,77,3.71,3,83,15/08/2017,
4809,4809,01/09/2017,2,54,102,97,104,30,1.34,4.46,0.89,2.98,7,4809,41,1334,44,3.3,56,4.2,2,72,12/09/2017,
4810,4810,03/08/2017,2,53,85,88,84,24,0.87,3.61,0.81,3.39,5,4810,70,1793,61,3.4,74,4.13,3,15,15/08/2017,
4811,4811,06/08/2016,1,41,87,87,87,18,0.94,5.21,0.8,4.47,17,4811,432,9028,331,3.67,414,4.59,15,172,07/12/2016,
4812,4812,04/08/2016,1,41,96,88,94,17,1.07,6.27,0.78,4.56,48,4812,434,8882,300,3.38,407,4.58,15,108,18/07/2017,
4813,4813,03/11/2016,1,44,94,92,88,17,0.9,5.32,0.63,3.73,20,4813,343,7449,247,3.32,301,4.04,12,70,09/11/2016,
4814,4814,01/08/2016,1,41,94,92,99,16,0.8,5,0.65,4.09,172,4814,437,9132,318,3.48,416,4.56,15,175,14/02/2017,
4815,4815,17/08/2017,2,53,99,95,96,29,1.39,4.79,0.86,2.96,31,4815,56,1829,57,3.12,55,3.01,2,31,12/10/2017,
4819,4819,07/08/2017,2,53,86,88,80,23,0.9,3.92,0.76,3.32,38,4819,66,1765,60,3.4,64,3.63,3,47,15/08/2017,
4827,4827,24/08/2017,2,53,99,98,94,29,1.08,3.73,0.88,3.02,33,4827,49,1591,48,3.02,59,3.71,1,33,12/10/2017,
4828,4828,08/08/2017,2,53,77,82,78,26,1.03,3.98,0.83,3.18,11,4828,65,1601,56,3.5,64,4,3,108,15/08/2017,
4830,4830,08/08/2016,1,41,97,94,96,17,0.92,5.44,0.69,4.06,94,4830,430,9502,328,3.45,424,4.46,15,158,14/02/2017,
4831,4831,06/08/2016,1,41,83,88,96,12,0.77,6.44,0.56,4.64,34,4831,432,7684,297,3.87,418,5.44,15,40,15/08/2017,
4832,4832,20/08/2017,2,53,78,81,65,25,0.68,2.72,0.75,2.98,15,4832,53,1325,40,3.02,26,1.96,2,15,12/10/2017,
4833,4833,07/08/2017,2,53,96,95,90,28,1.07,3.83,0.9,3.21,22,4833,66,1912,65,3.4,74,3.87,3,86,15/08/2017,
4834,4834,04/08/2017,2,52,68,80,75,18,0.93,5.16,0.76,4.23,99,4834,69,1657,58,3.5,65,3.92,3,99,12/10/2017,
